hotel_unit,name,rating,date,review
GDHY,FA,9.1,2018-09-11,"Lumayan dengan harga yang diberikan. Bathtub bocor tidak bisa dipakai. Kamar luas, nyaman, TV LCD. Menu breakfast kurang variatif, enak sebenarnya, parkir motor tidak memadai."
GDHY,as,8.5,2017-12-27,"Sangat memuaskan, makanannya enak sekali."
GDHY,jodra,5.8,2019-05-02,WiFi terlalu lemot dan list jendela kamar kotor banget. Lainnya oke lah.
GDHY,AH,8.5,2017-01-23,Pelayanannya sangat baik apalagi pada saat penerimaan di receptionist. Apalagi pada saat pengantaran ke bandara
GDHY,ZE,10.0,2023-04-30,"Pengalaman hebat dengan hotel ini, pelayanan dan fasilitasnya sangat bagus, semua tim sekuritas dan pelayan Restoran Sarapan Pagi (Mas Fatur dan Mba Nora) yang sangat mendukung kami, lain kali ketika kami kembali mengunjungi Jogja, kami akan menginap di hotel yang direkomendasikan ini lagi. 👍🏻"
GDHY,AS,9.7,2018-12-27,"Kamarnya luas dengan pemandangan kota yang bagus, lokasinya bagus meskipun bangunan tua hotelnya sangat nyaman dan stafnya sangat ramah"
GDHY,Andien A.,6.9,2019-11-06,"WiFi sering putus-putus, harga makanan di restorannya mahal-mahal."
GDHY,ANDY I. L.,10.0,2019-01-08,"Saya sangat senang bisa menginap di Grand Quality Hotel. Nuansa yang sangat hangat yang diberikan dari karyawan-karyawan hotel kepada saya sebagai tamu hotel, selain itu menu makanan untuk sarapan sangat variatif, dan shuttle dari/ke bandara, stasiun free. Terima kasih Grand Quality."
GDHY,S,9.1,2017-07-21,"Hotel bersih, nyaman dan lokasi dekat bandara, sehingga bisa rileks."
GDHY,PM,9.7,2019-01-05,"Apa yang tidak disukai ... lokasi, lokasi, lokasi, kamar bersih besar, tempat tidur nyaman dengan bantuan liberal staf yang penuh perhatian dan membantu. GQ adalah pilihan saya untuk tinggal di Yogyakarta - saya berbicara dari pengalaman setelah beberapa kali menginap, serta mencicipi properti lainnya ..... tapi GQ adalah pilihan utama saya. Sudah selesai dilakukan dengan baik!"
