hotel_unit,name,rating,date,review
Go,JJ,9.4,2018-05-05,Tetapi makanannya kurang variatif. Thanks
Go,PW,8.5,2017-09-09,"Hotel yang bagus, bersih, tetapi tidak ada soket internasional sehingga perlu mencari adaptor untuk memasangnya karena barang elektronik saya standar Inggris"
Go,A,9.4,2021-07-31,Nyaman dan pelayanannya ramah.
Go,Ferry T.,9.1,2019-04-20,"plus: pelayanan ramah, harga oke, makanan cukup variatif walau biasa, air panas lancar, AC dingin. minus: kebersihan kamar msh perlu ditingkatkan. msh ada sisa sampah tamu sblmnya tertinggal dibawah kasur. cuma disediakan tissue toilet, tissue meja tdk ada. tetapi cukup puas menginap di sini.thx"
Go,Bagus D. P.,9.7,2018-07-09,Kamar nyaman. View bagus menghadap ke jalan raya
Go,NR,8.3,2017-09-10,"Tidak bisa makan malam, room service close jam 21.00 , dan tidak tersedia parkiran yang baik."
Go,RR,8.5,2017-09-13,Lumayan memuaskan meski menu sarapan kurang pilihannya.
Go,DY,8.5,2019-01-29,"Not bad, bisa dijadikan alternatif."
Go,SS,8.4,2017-10-08,"Hotel bersih, pelayanan baik, tapi lahan parkir kurang luas dan makanannya dingin. Air di kamar mandi agak bau, kamar ada connecting doornya jadi bisa agak kedengeran sebelah baru ngapain."
Go,H,8.5,2019-12-27,"Pelayanan ramah, kamar tipe standar dengan fasilitas cukup baik hanya saja masih ada debu dipojok-pojok kamar."
Go,Putu U. H.,9.4,2023-04-26,Cukup menyenangkan dan cukup baik.
Go,NT,8.1,2018-01-03,"Kamarnya cukup nyaman, tapi untuk menu breakfast nya, kurang memuaskan. tolong ditingkatkan lagi."
Go,virgian a. s.,8.8,2019-02-04,"Luas, nyaman, minus parkir saja, parkiran penuh terpaksa parkirnya jauh, tapi securitynya baik mau mengantar dan jemput ke area parkir."
